23	아웃닭	37.66516	127.03744	63000	2016-02-17	17:38:03	식사
166	오쭈	37.575786	126.891716	48900	2017-06-14	11:10:37	식사
141	파리바게트	37.595874	126.851607	41400	2017-02-08	09:23:53	카페
10	반디앤루니스	37.626822	127.024593	87000	2017-07-19	23:48:16	학습
290	백다방	37.486116	126.946828	30900	2017-12-13	17:54:56	카페
61	동경야네	37.53105	127.080159	29200	2016-12-26	18:06:46	식사
215	엔젤리너스	37.462362	127.163127	98500	2016-03-15	15:32:58	카페
91	원할머니보쌈	37.476561	127.098467	6000	2017-03-05	09:56:00	식사
280	멘동	37.550461	127.13587	139000	2017-01-20	23:35:59	식사
139	버거킹	37.594077	127.07455	133800	2016-11-24	11:01:03	식사
214	아웃닭	37.505376	127.145041	107600	2017-10-17	13:56:50	식사
65	롯데리아	37.5626	126.904155	48600	2018-03-24	21:45:48	식사
204	아웃닭	37.462857	127.183429	129900	2017-08-25	10:00:21	식사
38	리얼후라이	37.538456	127.040565	112700	2016-03-20	20:27:09	식사
92	뚜레쥬르	37.610402	127.072409	119400	2017-09-05	19:25:08	카페
285	쥬씨	37.669257	126.922565	111800	2016-10-23	14:24:50	카페
36	홍콩반점	37.592112	127.014746	9900	2017-07-31	10:31:48	식사
181	스시진	37.587238	126.857844	67300	2016-06-23	18:27:41	식사
163	교보문고	37.671749	127.096201	35300	2017-02-16	16:07:11	학습
33	김덕후의곱창조	37.57287	126.947634	65800	2017-07-04	14:31:11	식사
25	구이가	37.477522	127.007314	64100	2017-05-14	10:39:43	식사
49	매드포갈릭	37.660956	126.868348	109900	2017-12-17	15:54:22	식사
4	꾼	37.593765	127.179939	142900	2017-03-31	23:41:41	술
246	동경야네	37.632699	127.051856	68300	2016-11-11	19:48:49	식사
156	연래춘	37.689672	126.860476	149300	2016-01-18	21:47:29	식사
153	봄봄	37.696752	127.075938	9100	2016-03-02	16:29:40	카페
26	리얼후라이	37.531897	127.010515	77500	2016-06-18	18:55:34	식사
57	봄봄	37.70523	127.065093	39400	2016-09-21	18:40:42	카페
22	파리바게트	37.510241	127.042251	36600	2017-12-05	18:21:58	카페
219	베스킨라빈스	37.694803	126.992967	23200	2017-05-08	21:54:54	카페
161	멘동	37.709193	126.942712	71200	2016-01-22	20:28:41	식사
51	연래춘	37.661314	126.984072	34500	2016-07-08	20:28:20	식사
233	김덕후의곱창조	37.680804	127.091867	129600	2016-07-18	19:21:32	식사
